[2025-07-27 22:35:42] WARNING [django.server:213] "GET /static/assets/css/portfolio/bg.jpg HTTP/1.1" 404 1895
[2025-07-27 22:37:28] WARNING [django.server:213] "GET /static/images/nalanda.png HTTP/1.1" 404 1868
[2025-07-27 22:37:28] WARNING [django.server:213] "GET /static/images/nalanda-cs.png HTTP/1.1" 404 1877
[2025-07-27 22:37:28] WARNING [django.server:213] "GET /static/images/bcu-logo.png HTTP/1.1" 404 1871
[2025-07-27 22:37:28] WARNING [django.server:213] "GET /static/images/melioraa.png HTTP/1.1" 404 1871
[2025-07-27 22:37:28] WARNING [django.server:213] "GET /static/images/sqa-logo.png HTTP/1.1" 404 1871
[2025-07-27 22:37:28] WARNING [django.server:213] "GET /static/images/xdoto-logo.png HTTP/1.1" 404 1877
[2025-07-27 22:37:28] WARNING [django.server:213] "GET /static/images/freelance.jpg HTTP/1.1" 404 1874
[2025-07-27 22:37:28] WARNING [django.server:213] "GET /static/images/dialog-power-app.png HTTP/1.1" 404 1895
[2025-07-27 22:37:28] WARNING [django.server:213] "GET /static/images/morex.png HTTP/1.1" 404 1862
[2025-07-27 22:37:28] WARNING [django.server:213] "GET /static/images/ndcamera.png HTTP/1.1" 404 1871
[2025-07-27 22:37:28] WARNING [django.server:213] "GET /static/images/pamunuwila-hardware.png HTTP/1.1" 404 1904
[2025-07-27 22:37:29] WARNING [django.server:213] "GET /static/assets/css/portfolio/bg.jpg HTTP/1.1" 404 1895
[2025-07-27 22:37:29] WARNING [django.server:213] "GET /static/images/adyapana.png HTTP/1.1" 404 1871
[2025-07-27 22:37:29] WARNING [django.server:213] "GET /static/images/opd-channeling.png HTTP/1.1" 404 1889
[2025-07-27 22:37:29] WARNING [django.server:213] "GET /static/images/imagescave.png HTTP/1.1" 404 1877
[2025-07-27 22:37:29] WARNING [django.server:213] "GET /static/images/election-sri-lanka.png HTTP/1.1" 404 1901
[2025-07-27 22:37:29] WARNING [django.server:213] "GET /static/images/helth-first.png HTTP/1.1" 404 1880
[2025-07-27 22:37:35] WARNING [django.server:213] "GET /static/images/photographynikon-d7200.png HTTP/1.1" 404 1913
[2025-07-27 22:37:35] WARNING [django.server:213] "GET /static/images/photographynikon-70-300.png HTTP/1.1" 404 1916
[2025-07-27 22:37:35] WARNING [django.server:213] "GET /static/images/photographynikon-18-55.png HTTP/1.1" 404 1913
[2025-07-27 22:37:35] WARNING [django.server:213] "GET /static/assets/css/portfolio/bg.jpg HTTP/1.1" 404 1895
[2025-07-27 22:37:59] WARNING [django.server:213] "GET /static/images/photographynikon-18-55.png HTTP/1.1" 404 1913
